class,feature,weight
ENG,bi_$1,0.0
ENG,bi_$6,-0.0005820196956119092
ENG,bi_&a,1.061886624365378
ENG,bi_&b,-0.1355754538784466
ENG,bi_&l,-0.1217401387707166
ENG,bi_'a,0.6683336057045547
ENG,bi_'c,0.0
ENG,bi_'l,0.2098536532984304
ENG,bi_'m,0.93973269680539
ENG,bi_'n,-0.005580509322150466
ENG,bi_'s,1.0679953677384981
ENG,bi_'t,-0.24957972168197787
ENG,bi_'v,0.48704275670394936
ENG,bi_'y,-0.0733933008381936
ENG,bi_*k,0.0
ENG,bi_-1,-0.30054116980033735
ENG,bi_-2,0.5789179505120469
ENG,bi_-3,0.3274031689232175
ENG,bi_-4,-0.051270576171795215
ENG,bi_-5,-0.0006147906640056951
ENG,bi_-6,-0.0006147906640056951
ENG,bi_-8,-0.00012728282837432553
ENG,bi_-a,0.296060735739839
ENG,bi_-b,0.040049289424135014
ENG,bi_-c,-0.1884051536759323
ENG,bi_-d,-0.3524287190058603
ENG,bi_-e,-0.12698144040865422
ENG,bi_-f,0.7069666038809984
ENG,bi_-g,-0.007951814499636996
ENG,bi_-h,0.049470951720705036
ENG,bi_-i,0.22421179911217587
ENG,bi_-k,-0.117543874784647
ENG,bi_-l,-0.08886944777160229
ENG,bi_-m,0.6215982169736449
ENG,bi_-n,-0.11380724688961798
ENG,bi_-o,0.3771412658132976
ENG,bi_-p,-0.09479523017036741
ENG,bi_-r,-0.48278462906033337
ENG,bi_-s,-0.31612482202192366
ENG,bi_-t,0.3352660804785663
ENG,bi_-u,0.09912512898307349
ENG,bi_-v,-0.0007149923950827849
ENG,bi_-w,-0.35391622809021
ENG,bi_-y,0.1276342824787321
ENG,bi_-z,0.22521124483261654
ENG,bi_.a,-0.031106590123709654
ENG,bi_.d,-0.001789749494900778
ENG,bi_.l,-0.07151799599792444
ENG,bi_.m,-0.18617035286475936
ENG,bi_0$,-0.024394559430254894
ENG,bi_0',-0.0515646512676014
ENG,bi_0-,-0.11117039737864358
ENG,bi_00,-0.1984444755665412
ENG,bi_01,-0.032264004677753415
ENG,bi_02,-0.06052565034008236
ENG,bi_03,-0.0020731522634110234
ENG,bi_05,-0.008759161899295627
ENG,bi_07,-0.0030746973584842474
ENG,bi_08,-0.003831423139553284
ENG,bi_09,-0.00838417994698586
ENG,bi_0:,0.0
ENG,bi_0k,-0.01719926627782284
ENG,bi_0m,-0.07111646987487732
ENG,bi_0s,-0.03381915987927051
ENG,bi_1-,-0.06388987138584608
ENG,bi_10,-0.2848500250377048
ENG,bi_11,-0.03702594613099162
ENG,bi_12,-0.7864475323627788
ENG,bi_13,-0.07575615882599315
ENG,bi_14,-0.01831738962670352
ENG,bi_15,-0.16734461623649535
ENG,bi_16,-0.024824106020696343
ENG,bi_17,-0.0006363093235926812
ENG,bi_18,-0.025228477825576145
ENG,bi_19,0.04572980205768378
ENG,bi_1:,-0.0005541102801666478
ENG,bi_1k,-0.039848504371046485
ENG,bi_1m,-0.30096097538149985
ENG,bi_1p,-0.15625436908886797
ENG,bi_1s,-0.4834024184592294
ENG,bi_2-,-0.36196674731690365
